"Gender"	"Provinces"	"Periodo"	"Situation"	"value"
"Females"	"14 Córdoba"	"2013QI"	"Employed persons"	107.2
"Males"	"15 Coruña, A"	"2013QI"	"Employed persons"	230.3
"Females"	"15 Coruña, A"	"2013QI"	"Employed persons"	206.4
"Males"	"16 Cuenca"	"2013QI"	"Employed persons"	42.8
"Females"	"16 Cuenca"	"2013QI"	"Employed persons"	24.8
"Males"	"20 Gipuzkoa"	"2013QI"	"Employed persons"	152.2
"Females"	"20 Gipuzkoa"	"2013QI"	"Employed persons"	132.8
"Males"	"17 Girona"	"2013QI"	"Employed persons"	152.1
"Females"	"17 Girona"	"2013QI"	"Employed persons"	138.7
"Males"	"18 Granada"	"2013QI"	"Employed persons"	152
"Females"	"18 Granada"	"2013QI"	"Employed persons"	127.3
"Males"	"19 Guadalajara"	"2013QI"	"Employed persons"	57.9
"Females"	"19 Guadalajara"	"2013QI"	"Employed persons"	44.1
"Males"	"21 Huelva"	"2013QI"	"Employed persons"	85.4
"Females"	"21 Huelva"	"2013QI"	"Employed persons"	64.3
"Males"	"22 Huesca"	"2013QI"	"Employed persons"	51.2
"Females"	"22 Huesca"	"2013QI"	"Employed persons"	38.8
"Males"	"23 Jaén"	"2013QI"	"Employed persons"	105.9
"Females"	"23 Jaén"	"2013QI"	"Employed persons"	75.6
"Males"	"24 León"	"2013QI"	"Employed persons"	87.8
"Females"	"24 León"	"2013QI"	"Employed persons"	75.5
"Males"	"25 Lleida"	"2013QI"	"Employed persons"	102.5
"Females"	"25 Lleida"	"2013QI"	"Employed persons"	82.1
"Males"	"27 Lugo"	"2013QI"	"Employed persons"	64
"Females"	"27 Lugo"	"2013QI"	"Employed persons"	60.8
"Males"	"28 Madrid"	"2013QI"	"Employed persons"	1420.7
"Females"	"28 Madrid"	"2013QI"	"Employed persons"	1340.1
"Males"	"29 Málaga"	"2013QI"	"Employed persons"	253.4
"Females"	"29 Málaga"	"2013QI"	"Employed persons"	234.8
"Males"	"30 Murcia"	"2013QI"	"Employed persons"	283.9
"Females"	"30 Murcia"	"2013QI"	"Employed persons"	220.9
"Males"	"31 Navarra"	"2013QI"	"Employed persons"	142.1
"Females"	"31 Navarra"	"2013QI"	"Employed persons"	114.7
"Males"	"32 Ourense"	"2013QI"	"Employed persons"	55.6
"Females"	"32 Ourense"	"2013QI"	"Employed persons"	50.4
"Males"	"34 Palencia"	"2013QI"	"Employed persons"	35.1
"Females"	"34 Palencia"	"2013QI"	"Employed persons"	26.2
"Males"	"35 Palmas, Las"	"2013QI"	"Employed persons"	215.3
"Females"	"35 Palmas, Las"	"2013QI"	"Employed persons"	173.2
"Males"	"36 Pontevedra"	"2013QI"	"Employed persons"	182
"Females"	"36 Pontevedra"	"2013QI"	"Employed persons"	155.9
"Males"	"26 Rioja, La"	"2013QI"	"Employed persons"	68.2
"Females"	"26 Rioja, La"	"2013QI"	"Employed persons"	55.8
"Males"	"37 Salamanca"	"2013QI"	"Employed persons"	64.8
"Females"	"37 Salamanca"	"2013QI"	"Employed persons"	57.4
"Males"	"38 Santa Cruz de Tenerife"	"2013QI"	"Employed persons"	181.1
"Females"	"38 Santa Cruz de Tenerife"	"2013QI"	"Employed persons"	165.7
"Males"	"40 Segovia"	"2013QI"	"Employed persons"	36.2
"Females"	"40 Segovia"	"2013QI"	"Employed persons"	25.6
"Males"	"41 Sevilla"	"2013QI"	"Employed persons"	348.4
"Females"	"41 Sevilla"	"2013QI"	"Employed persons"	279.9
"Males"	"42 Soria"	"2013QI"	"Employed persons"	20.4
"Females"	"42 Soria"	"2013QI"	"Employed persons"	16
"Males"	"43 Tarragona"	"2013QI"	"Employed persons"	159.5
"Females"	"43 Tarragona"	"2013QI"	"Employed persons"	131
"Males"	"44 Teruel"	"2013QI"	"Employed persons"	31
"Females"	"44 Teruel"	"2013QI"	"Employed persons"	20.6
"Males"	"45 Toledo"	"2013QI"	"Employed persons"	141.9
"Females"	"45 Toledo"	"2013QI"	"Employed persons"	98.8
"Males"	"46 Valencia/València"	"2013QI"	"Employed persons"	507.4
"Females"	"46 Valencia/València"	"2013QI"	"Employed persons"	424.7
"Males"	"47 Valladolid"	"2013QI"	"Employed persons"	112.5
"Females"	"47 Valladolid"	"2013QI"	"Employed persons"	97.3
"Males"	"49 Zamora"	"2013QI"	"Employed persons"	32.8
"Females"	"49 Zamora"	"2013QI"	"Employed persons"	22.6
"Males"	"50 Zaragoza"	"2013QI"	"Employed persons"	200.7
"Females"	"50 Zaragoza"	"2013QI"	"Employed persons"	169.4
"Males"	"51 Ceuta"	"2013QI"	"Employed persons"	17.1
"Females"	"51 Ceuta"	"2013QI"	"Employed persons"	8.7
"Males"	"52 Melilla"	"2013QI"	"Employed persons"	15
"Females"	"52 Melilla"	"2013QI"	"Employed persons"	10.3
"Males"	"02 Albacete"	"2012QIV"	"Employed persons"	75
"Females"	"02 Albacete"	"2012QIV"	"Employed persons"	48.6
"Males"	"03 Alicante/Alacant"	"2012QIV"	"Employed persons"	372.3
"Females"	"03 Alicante/Alacant"	"2012QIV"	"Employed persons"	262.1
"Males"	"04 Almería"	"2012QIV"	"Employed persons"	134
"Females"	"04 Almería"	"2012QIV"	"Employed persons"	97.5
"Males"	"01 Araba/Álava"	"2012QIV"	"Employed persons"	71.1
"Females"	"01 Araba/Álava"	"2012QIV"	"Employed persons"	62.5
"Males"	"33 Asturias"	"2012QIV"	"Employed persons"	199.2
"Females"	"33 Asturias"	"2012QIV"	"Employed persons"	173.7
"Males"	"05 Ávila"	"2012QIV"	"Employed persons"	36.8
"Females"	"05 Ávila"	"2012QIV"	"Employed persons"	23.6
"Males"	"06 Badajoz"	"2012QIV"	"Employed persons"	125.7
"Females"	"06 Badajoz"	"2012QIV"	"Employed persons"	88.1
"Males"	"07 Balears, Illes"	"2012QIV"	"Employed persons"	248.6
"Females"	"07 Balears, Illes"	"2012QIV"	"Employed persons"	207.7
"Males"	"08 Barcelona"	"2012QIV"	"Employed persons"	1143.3
"Females"	"08 Barcelona"	"2012QIV"	"Employed persons"	1040.6
"Males"	"48 Bizkaia"	"2012QIV"	"Employed persons"	245.6
"Females"	"48 Bizkaia"	"2012QIV"	"Employed persons"	227.6
"Males"	"09 Burgos"	"2012QIV"	"Employed persons"	88.7
"Females"	"09 Burgos"	"2012QIV"	"Employed persons"	60.5
"Males"	"10 Cáceres"	"2012QIV"	"Employed persons"	73
"Females"	"10 Cáceres"	"2012QIV"	"Employed persons"	53.8
"Males"	"11 Cádiz"	"2012QIV"	"Employed persons"	210.4
"Females"	"11 Cádiz"	"2012QIV"	"Employed persons"	144.1
"Males"	"39 Cantabria"	"2012QIV"	"Employed persons"	125.6
"Females"	"39 Cantabria"	"2012QIV"	"Employed persons"	105
"Males"	"12 Castellón/Castelló"	"2012QIV"	"Employed persons"	120.9
"Females"	"12 Castellón/Castelló"	"2012QIV"	"Employed persons"	94.3
"Males"	"13 Ciudad Real"	"2012QIV"	"Employed persons"	102.6
"Females"	"13 Ciudad Real"	"2012QIV"	"Employed persons"	63.4
"Males"	"14 Córdoba"	"2012QIV"	"Employed persons"	144.4
"Females"	"14 Córdoba"	"2012QIV"	"Employed persons"	102.3
"Males"	"15 Coruña, A"	"2012QIV"	"Employed persons"	232.8
"Females"	"15 Coruña, A"	"2012QIV"	"Employed persons"	212.5
"Males"	"16 Cuenca"	"2012QIV"	"Employed persons"	42.9
"Females"	"16 Cuenca"	"2012QIV"	"Employed persons"	26.3
"Males"	"20 Gipuzkoa"	"2012QIV"	"Employed persons"	156.2
"Females"	"20 Gipuzkoa"	"2012QIV"	"Employed persons"	127.8
"Males"	"17 Girona"	"2012QIV"	"Employed persons"	154.8
"Females"	"17 Girona"	"2012QIV"	"Employed persons"	141.7
"Males"	"18 Granada"	"2012QIV"	"Employed persons"	151
"Females"	"18 Granada"	"2012QIV"	"Employed persons"	127.9
"Males"	"19 Guadalajara"	"2012QIV"	"Employed persons"	59.3
"Females"	"19 Guadalajara"	"2012QIV"	"Employed persons"	43.9
"Males"	"21 Huelva"	"2012QIV"	"Employed persons"	91.8
"Females"	"21 Huelva"	"2012QIV"	"Employed persons"	71.5
"Males"	"22 Huesca"	"2012QIV"	"Employed persons"	55.4
"Females"	"22 Huesca"	"2012QIV"	"Employed persons"	39.5
"Males"	"23 Jaén"	"2012QIV"	"Employed persons"	115
"Females"	"23 Jaén"	"2012QIV"	"Employed persons"	79.5
"Males"	"24 León"	"2012QIV"	"Employed persons"	91.5
"Females"	"24 León"	"2012QIV"	"Employed persons"	73.3
"Males"	"25 Lleida"	"2012QIV"	"Employed persons"	101.1
"Females"	"25 Lleida"	"2012QIV"	"Employed persons"	80.8
"Males"	"27 Lugo"	"2012QIV"	"Employed persons"	67.7
"Females"	"27 Lugo"	"2012QIV"	"Employed persons"	63.3
"Males"	"28 Madrid"	"2012QIV"	"Employed persons"	1430.1
"Females"	"28 Madrid"	"2012QIV"	"Employed persons"	1345.3
"Males"	"29 Málaga"	"2012QIV"	"Employed persons"	257.2
"Females"	"29 Málaga"	"2012QIV"	"Employed persons"	245
"Males"	"30 Murcia"	"2012QIV"	"Employed persons"	288.3
"Females"	"30 Murcia"	"2012QIV"	"Employed persons"	221.9
"Males"	"31 Navarra"	"2012QIV"	"Employed persons"	143.5
"Females"	"31 Navarra"	"2012QIV"	"Employed persons"	120.1
"Males"	"32 Ourense"	"2012QIV"	"Employed persons"	57.5
"Females"	"32 Ourense"	"2012QIV"	"Employed persons"	50.6
"Males"	"34 Palencia"	"2012QIV"	"Employed persons"	37
"Females"	"34 Palencia"	"2012QIV"	"Employed persons"	25.8
"Males"	"35 Palmas, Las"	"2012QIV"	"Employed persons"	215.7
"Females"	"35 Palmas, Las"	"2012QIV"	"Employed persons"	173.2
"Males"	"36 Pontevedra"	"2012QIV"	"Employed persons"	187.7
"Females"	"36 Pontevedra"	"2012QIV"	"Employed persons"	161.8
"Males"	"26 Rioja, La"	"2012QIV"	"Employed persons"	70.3
"Females"	"26 Rioja, La"	"2012QIV"	"Employed persons"	56.4
"Males"	"37 Salamanca"	"2012QIV"	"Employed persons"	69.2
"Females"	"37 Salamanca"	"2012QIV"	"Employed persons"	56.3
"Males"	"38 Santa Cruz de Tenerife"	"2012QIV"	"Employed persons"	183.4
"Females"	"38 Santa Cruz de Tenerife"	"2012QIV"	"Employed persons"	169.5
"Males"	"40 Segovia"	"2012QIV"	"Employed persons"	35.7
"Females"	"40 Segovia"	"2012QIV"	"Employed persons"	26.3
"Males"	"41 Sevilla"	"2012QIV"	"Employed persons"	350.2
"Females"	"41 Sevilla"	"2012QIV"	"Employed persons"	282.4
"Males"	"42 Soria"	"2012QIV"	"Employed persons"	21.4
"Females"	"42 Soria"	"2012QIV"	"Employed persons"	16.7
"Males"	"43 Tarragona"	"2012QIV"	"Employed persons"	168.5
"Females"	"43 Tarragona"	"2012QIV"	"Employed persons"	131.1
"Males"	"44 Teruel"	"2012QIV"	"Employed persons"	34.9
"Females"	"44 Teruel"	"2012QIV"	"Employed persons"	20.9
"Males"	"45 Toledo"	"2012QIV"	"Employed persons"	148.3
"Females"	"45 Toledo"	"2012QIV"	"Employed persons"	100.1
"Males"	"46 Valencia/València"	"2012QIV"	"Employed persons"	500.4
"Females"	"46 Valencia/València"	"2012QIV"	"Employed persons"	439.4
"Males"	"47 Valladolid"	"2012QIV"	"Employed persons"	117.4
"Females"	"47 Valladolid"	"2012QIV"	"Employed persons"	96.3
"Males"	"49 Zamora"	"2012QIV"	"Employed persons"	33.1
"Females"	"49 Zamora"	"2012QIV"	"Employed persons"	23.2
"Males"	"50 Zaragoza"	"2012QIV"	"Employed persons"	217.1
"Females"	"50 Zaragoza"	"2012QIV"	"Employed persons"	179.9
"Males"	"51 Ceuta"	"2012QIV"	"Employed persons"	16.2
"Females"	"51 Ceuta"	"2012QIV"	"Employed persons"	7.4
"Males"	"52 Melilla"	"2012QIV"	"Employed persons"	15.8
"Females"	"52 Melilla"	"2012QIV"	"Employed persons"	10.1
"Males"	"02 Albacete"	"2012QIII"	"Employed persons"	75.6
"Females"	"02 Albacete"	"2012QIII"	"Employed persons"	50.6
"Males"	"03 Alicante/Alacant"	"2012QIII"	"Employed persons"	376.9
"Females"	"03 Alicante/Alacant"	"2012QIII"	"Employed persons"	277.8
"Males"	"04 Almería"	"2012QIII"	"Employed persons"	125.8
"Females"	"04 Almería"	"2012QIII"	"Employed persons"	99.3
"Males"	"01 Araba/Álava"	"2012QIII"	"Employed persons"	77.4
"Females"	"01 Araba/Álava"	"2012QIII"	"Employed persons"	62
"Males"	"33 Asturias"	"2012QIII"	"Employed persons"	204.7
"Females"	"33 Asturias"	"2012QIII"	"Employed persons"	181.7
"Males"	"05 Ávila"	"2012QIII"	"Employed persons"	37
"Females"	"05 Ávila"	"2012QIII"	"Employed persons"	24.2
"Males"	"06 Badajoz"	"2012QIII"	"Employed persons"	133.4
"Females"	"06 Badajoz"	"2012QIII"	"Employed persons"	88.1
"Males"	"07 Balears, Illes"	"2012QIII"	"Employed persons"	278.1
"Females"	"07 Balears, Illes"	"2012QIII"	"Employed persons"	235.8
"Males"	"08 Barcelona"	"2012QIII"	"Employed persons"	1181.6
"Females"	"08 Barcelona"	"2012QIII"	"Employed persons"	1038.2
"Males"	"48 Bizkaia"	"2012QIII"	"Employed persons"	242.3
"Females"	"48 Bizkaia"	"2012QIII"	"Employed persons"	219.2
"Males"	"09 Burgos"	"2012QIII"	"Employed persons"	93.2
"Females"	"09 Burgos"	"2012QIII"	"Employed persons"	62
"Males"	"10 Cáceres"	"2012QIII"	"Employed persons"	72.4
"Females"	"10 Cáceres"	"2012QIII"	"Employed persons"	54
"Males"	"11 Cádiz"	"2012QIII"	"Employed persons"	215.5
"Females"	"11 Cádiz"	"2012QIII"	"Employed persons"	169.5
"Males"	"39 Cantabria"	"2012QIII"	"Employed persons"	129.9
"Females"	"39 Cantabria"	"2012QIII"	"Employed persons"	108.4
"Males"	"12 Castellón/Castelló"	"2012QIII"	"Employed persons"	120
"Females"	"12 Castellón/Castelló"	"2012QIII"	"Employed persons"	93.1
"Males"	"13 Ciudad Real"	"2012QIII"	"Employed persons"	101.5
"Females"	"13 Ciudad Real"	"2012QIII"	"Employed persons"	68.4
"Males"	"14 Córdoba"	"2012QIII"	"Employed persons"	136.8
"Females"	"14 Córdoba"	"2012QIII"	"Employed persons"	99.6
"Males"	"15 Coruña, A"	"2012QIII"	"Employed persons"	239.6
"Females"	"15 Coruña, A"	"2012QIII"	"Employed persons"	217.4
"Males"	"16 Cuenca"	"2012QIII"	"Employed persons"	48.3
"Females"	"16 Cuenca"	"2012QIII"	"Employed persons"	28.1
"Males"	"20 Gipuzkoa"	"2012QIII"	"Employed persons"	157.6
"Females"	"20 Gipuzkoa"	"2012QIII"	"Employed persons"	131.1
"Males"	"17 Girona"	"2012QIII"	"Employed persons"	166.7
"Females"	"17 Girona"	"2012QIII"	"Employed persons"	146.6
"Males"	"18 Granada"	"2012QIII"	"Employed persons"	149.8
"Females"	"18 Granada"	"2012QIII"	"Employed persons"	128.6
"Males"	"19 Guadalajara"	"2012QIII"	"Employed persons"	61.1
"Females"	"19 Guadalajara"	"2012QIII"	"Employed persons"	43.9
"Males"	"21 Huelva"	"2012QIII"	"Employed persons"	88
"Females"	"21 Huelva"	"2012QIII"	"Employed persons"	75.6
"Males"	"22 Huesca"	"2012QIII"	"Employed persons"	56.1
"Females"	"22 Huesca"	"2012QIII"	"Employed persons"	41.1
"Males"	"23 Jaén"	"2012QIII"	"Employed persons"	110
"Females"	"23 Jaén"	"2012QIII"	"Employed persons"	74.3
"Males"	"24 León"	"2012QIII"	"Employed persons"	94.1
"Females"	"24 León"	"2012QIII"	"Employed persons"	74.9
"Males"	"25 Lleida"	"2012QIII"	"Employed persons"	104.9
"Females"	"25 Lleida"	"2012QIII"	"Employed persons"	82.6
"Males"	"27 Lugo"	"2012QIII"	"Employed persons"	69.6
"Females"	"27 Lugo"	"2012QIII"	"Employed persons"	63.7
"Males"	"28 Madrid"	"2012QIII"	"Employed persons"	1462.5
"Females"	"28 Madrid"	"2012QIII"	"Employed persons"	1360.1
"Males"	"29 Málaga"	"2012QIII"	"Employed persons"	278.2
"Females"	"29 Málaga"	"2012QIII"	"Employed persons"	247.2
"Males"	"30 Murcia"	"2012QIII"	"Employed persons"	292.1
"Females"	"30 Murcia"	"2012QIII"	"Employed persons"	233.9
"Males"	"31 Navarra"	"2012QIII"	"Employed persons"	149.2
"Females"	"31 Navarra"	"2012QIII"	"Employed persons"	122.5
"Males"	"32 Ourense"	"2012QIII"	"Employed persons"	61.8
"Females"	"32 Ourense"	"2012QIII"	"Employed persons"	51.4
"Males"	"34 Palencia"	"2012QIII"	"Employed persons"	39.7
"Females"	"34 Palencia"	"2012QIII"	"Employed persons"	26.3
"Males"	"35 Palmas, Las"	"2012QIII"	"Employed persons"	219.9
"Females"	"35 Palmas, Las"	"2012QIII"	"Employed persons"	168.3
"Males"	"36 Pontevedra"	"2012QIII"	"Employed persons"	187.8
"Females"	"36 Pontevedra"	"2012QIII"	"Employed persons"	164.6
"Males"	"26 Rioja, La"	"2012QIII"	"Employed persons"	71.2
"Females"	"26 Rioja, La"	"2012QIII"	"Employed persons"	54.9
"Males"	"37 Salamanca"	"2012QIII"	"Employed persons"	75.2
"Females"	"37 Salamanca"	"2012QIII"	"Employed persons"	57.4
"Males"	"38 Santa Cruz de Tenerife"	"2012QIII"	"Employed persons"	183.1
"Females"	"38 Santa Cruz de Tenerife"	"2012QIII"	"Employed persons"	167.5
"Males"	"40 Segovia"	"2012QIII"	"Employed persons"	38.6
"Females"	"40 Segovia"	"2012QIII"	"Employed persons"	26.2
"Males"	"41 Sevilla"	"2012QIII"	"Employed persons"	349.1
"Females"	"41 Sevilla"	"2012QIII"	"Employed persons"	278
"Males"	"42 Soria"	"2012QIII"	"Employed persons"	22.9
"Females"	"42 Soria"	"2012QIII"	"Employed persons"	17.3
"Males"	"43 Tarragona"	"2012QIII"	"Employed persons"	178.3
"Females"	"43 Tarragona"	"2012QIII"	"Employed persons"	133.6
"Males"	"44 Teruel"	"2012QIII"	"Employed persons"	33.2
"Females"	"44 Teruel"	"2012QIII"	"Employed persons"	22.4
"Males"	"45 Toledo"	"2012QIII"	"Employed persons"	147.8
"Females"	"45 Toledo"	"2012QIII"	"Employed persons"	105.1
"Males"	"46 Valencia/València"	"2012QIII"	"Employed persons"	499.3
"Females"	"46 Valencia/València"	"2012QIII"	"Employed persons"	426.4
"Males"	"47 Valladolid"	"2012QIII"	"Employed persons"	126
"Females"	"47 Valladolid"	"2012QIII"	"Employed persons"	97.7
"Males"	"49 Zamora"	"2012QIII"	"Employed persons"	35.7
"Females"	"49 Zamora"	"2012QIII"	"Employed persons"	23.7
"Males"	"50 Zaragoza"	"2012QIII"	"Employed persons"	214.7
"Females"	"50 Zaragoza"	"2012QIII"	"Employed persons"	180.5
"Males"	"51 Ceuta"	"2012QIII"	"Employed persons"	16.3
"Females"	"51 Ceuta"	"2012QIII"	"Employed persons"	7.5
"Males"	"52 Melilla"	"2012QIII"	"Employed persons"	15.3
"Females"	"52 Melilla"	"2012QIII"	"Employed persons"	10
"Males"	"02 Albacete"	"2012QII"	"Employed persons"	77.3
"Females"	"02 Albacete"	"2012QII"	"Employed persons"	52.1
"Males"	"03 Alicante/Alacant"	"2012QII"	"Employed persons"	374.3
"Females"	"03 Alicante/Alacant"	"2012QII"	"Employed persons"	285.1
"Males"	"04 Almería"	"2012QII"	"Employed persons"	131.3
"Females"	"04 Almería"	"2012QII"	"Employed persons"	102.2
"Males"	"01 Araba/Álava"	"2012QII"	"Employed persons"	75.5
"Females"	"01 Araba/Álava"	"2012QII"	"Employed persons"	61.3
"Males"	"33 Asturias"	"2012QII"	"Employed persons"	208.2
"Females"	"33 Asturias"	"2012QII"	"Employed persons"	181
"Males"	"05 Ávila"	"2012QII"	"Employed persons"	35.6
"Females"	"05 Ávila"	"2012QII"	"Employed persons"	23.2
"Males"	"06 Badajoz"	"2012QII"	"Employed persons"	126.9
"Females"	"06 Badajoz"	"2012QII"	"Employed persons"	80.9
"Males"	"07 Balears, Illes"	"2012QII"	"Employed persons"	266.8
"Females"	"07 Balears, Illes"	"2012QII"	"Employed persons"	222.2
"Males"	"08 Barcelona"	"2012QII"	"Employed persons"	1180.9
"Females"	"08 Barcelona"	"2012QII"	"Employed persons"	1072.9
"Males"	"48 Bizkaia"	"2012QII"	"Employed persons"	252.9
"Females"	"48 Bizkaia"	"2012QII"	"Employed persons"	219.5
"Males"	"09 Burgos"	"2012QII"	"Employed persons"	92.2
"Females"	"09 Burgos"	"2012QII"	"Employed persons"	60
"Males"	"10 Cáceres"	"2012QII"	"Employed persons"	69.9
"Females"	"10 Cáceres"	"2012QII"	"Employed persons"	52.6
"Males"	"11 Cádiz"	"2012QII"	"Employed persons"	218.2
"Females"	"11 Cádiz"	"2012QII"	"Employed persons"	166.5
"Males"	"39 Cantabria"	"2012QII"	"Employed persons"	125.4
"Females"	"39 Cantabria"	"2012QII"	"Employed persons"	108.1
"Males"	"12 Castellón/Castelló"	"2012QII"	"Employed persons"	117.5
"Females"	"12 Castellón/Castelló"	"2012QII"	"Employed persons"	96
"Males"	"13 Ciudad Real"	"2012QII"	"Employed persons"	99.4
"Females"	"13 Ciudad Real"	"2012QII"	"Employed persons"	64.1
"Males"	"14 Córdoba"	"2012QII"	"Employed persons"	141.1
"Females"	"14 Córdoba"	"2012QII"	"Employed persons"	108.6
"Males"	"15 Coruña, A"	"2012QII"	"Employed persons"	234.1
"Females"	"15 Coruña, A"	"2012QII"	"Employed persons"	215.7
"Males"	"16 Cuenca"	"2012QII"	"Employed persons"	44.8
"Females"	"16 Cuenca"	"2012QII"	"Employed persons"	28.7
"Males"	"20 Gipuzkoa"	"2012QII"	"Employed persons"	164.6
"Females"	"20 Gipuzkoa"	"2012QII"	"Employed persons"	138.4
"Males"	"17 Girona"	"2012QII"	"Employed persons"	163.2
"Females"	"17 Girona"	"2012QII"	"Employed persons"	138.6
"Males"	"18 Granada"	"2012QII"	"Employed persons"	156.3
"Females"	"18 Granada"	"2012QII"	"Employed persons"	124.6
"Males"	"19 Guadalajara"	"2012QII"	"Employed persons"	59
"Females"	"19 Guadalajara"	"2012QII"	"Employed persons"	45.2
"Males"	"21 Huelva"	"2012QII"	"Employed persons"	98.1
"Females"	"21 Huelva"	"2012QII"	"Employed persons"	78.1
"Males"	"22 Huesca"	"2012QII"	"Employed persons"	56.8
"Females"	"22 Huesca"	"2012QII"	"Employed persons"	40.3
"Males"	"23 Jaén"	"2012QII"	"Employed persons"	110.1
"Females"	"23 Jaén"	"2012QII"	"Employed persons"	75.7
"Males"	"24 León"	"2012QII"	"Employed persons"	95.5
"Females"	"24 León"	"2012QII"	"Employed persons"	76
"Males"	"25 Lleida"	"2012QII"	"Employed persons"	98.3
"Females"	"25 Lleida"	"2012QII"	"Employed persons"	82.7
"Males"	"27 Lugo"	"2012QII"	"Employed persons"	68.4
"Females"	"27 Lugo"	"2012QII"	"Employed persons"	64.4
"Males"	"28 Madrid"	"2012QII"	"Employed persons"	1460.4
"Females"	"28 Madrid"	"2012QII"	"Employed persons"	1380.4
"Males"	"29 Málaga"	"2012QII"	"Employed persons"	271.5
"Females"	"29 Málaga"	"2012QII"	"Employed persons"	246.5
"Males"	"30 Murcia"	"2012QII"	"Employed persons"	302.7
"Females"	"30 Murcia"	"2012QII"	"Employed persons"	237.2
"Males"	"31 Navarra"	"2012QII"	"Employed persons"	143.8
"Females"	"31 Navarra"	"2012QII"	"Employed persons"	125
"Males"	"32 Ourense"	"2012QII"	"Employed persons"	62.7
"Females"	"32 Ourense"	"2012QII"	"Employed persons"	51.4
"Males"	"34 Palencia"	"2012QII"	"Employed persons"	37.2
"Females"	"34 Palencia"	"2012QII"	"Employed persons"	25.8
"Males"	"35 Palmas, Las"	"2012QII"	"Employed persons"	213.4
"Females"	"35 Palmas, Las"	"2012QII"	"Employed persons"	158.2
"Males"	"36 Pontevedra"	"2012QII"	"Employed persons"	185.5
"Females"	"36 Pontevedra"	"2012QII"	"Employed persons"	159.7
"Males"	"26 Rioja, La"	"2012QII"	"Employed persons"	71.4
"Females"	"26 Rioja, La"	"2012QII"	"Employed persons"	53.4
"Males"	"37 Salamanca"	"2012QII"	"Employed persons"	75
"Females"	"37 Salamanca"	"2012QII"	"Employed persons"	58.3
"Males"	"38 Santa Cruz de Tenerife"	"2012QII"	"Employed persons"	195.7
"Females"	"38 Santa Cruz de Tenerife"	"2012QII"	"Employed persons"	173.7
"Males"	"40 Segovia"	"2012QII"	"Employed persons"	37.5
"Females"	"40 Segovia"	"2012QII"	"Employed persons"	24.3
"Males"	"41 Sevilla"	"2012QII"	"Employed persons"	372.1
"Females"	"41 Sevilla"	"2012QII"	"Employed persons"	285.9
"Males"	"42 Soria"	"2012QII"	"Employed persons"	22.8
"Females"	"42 Soria"	"2012QII"	"Employed persons"	17.1
"Males"	"43 Tarragona"	"2012QII"	"Employed persons"	181.2
"Females"	"43 Tarragona"	"2012QII"	"Employed persons"	141.5
"Males"	"44 Teruel"	"2012QII"	"Employed persons"	32.4
"Females"	"44 Teruel"	"2012QII"	"Employed persons"	22.6
"Males"	"45 Toledo"	"2012QII"	"Employed persons"	149.8
"Females"	"45 Toledo"	"2012QII"	"Employed persons"	105.7
"Males"	"46 Valencia/València"	"2012QII"	"Employed persons"	499.2
"Females"	"46 Valencia/València"	"2012QII"	"Employed persons"	444.1
"Males"	"47 Valladolid"	"2012QII"	"Employed persons"	120.9
"Females"	"47 Valladolid"	"2012QII"	"Employed persons"	98.7
"Males"	"49 Zamora"	"2012QII"	"Employed persons"	37.1
"Females"	"49 Zamora"	"2012QII"	"Employed persons"	24.6
"Males"	"50 Zaragoza"	"2012QII"	"Employed persons"	215.4
"Females"	"50 Zaragoza"	"2012QII"	"Employed persons"	178.9
"Males"	"51 Ceuta"	"2012QII"	"Employed persons"	15.6
"Females"	"51 Ceuta"	"2012QII"	"Employed persons"	9
"Males"	"52 Melilla"	"2012QII"	"Employed persons"	17
"Females"	"52 Melilla"	"2012QII"	"Employed persons"	8.8
"Males"	"02 Albacete"	"2012QI"	"Employed persons"	77.9
"Females"	"02 Albacete"	"2012QI"	"Employed persons"	59.2
"Males"	"03 Alicante/Alacant"	"2012QI"	"Employed persons"	359.5
"Females"	"03 Alicante/Alacant"	"2012QI"	"Employed persons"	278.2
"Males"	"04 Almería"	"2012QI"	"Employed persons"	127.6
"Females"	"04 Almería"	"2012QI"	"Employed persons"	110.8
"Males"	"01 Araba/Álava"	"2012QI"	"Employed persons"	77.6
"Females"	"01 Araba/Álava"	"2012QI"	"Employed persons"	58.2
"Males"	"33 Asturias"	"2012QI"	"Employed persons"	207.3
"Females"	"33 Asturias"	"2012QI"	"Employed persons"	175.9
"Males"	"05 Ávila"	"2012QI"	"Employed persons"	34.8
"Females"	"05 Ávila"	"2012QI"	"Employed persons"	23
"Males"	"06 Badajoz"	"2012QI"	"Employed persons"	127
"Females"	"06 Badajoz"	"2012QI"	"Employed persons"	87.5
"Males"	"07 Balears, Illes"	"2012QI"	"Employed persons"	235.3
"Females"	"07 Balears, Illes"	"2012QI"	"Employed persons"	192.9
"Males"	"08 Barcelona"	"2012QI"	"Employed persons"	1201.3
"Females"	"08 Barcelona"	"2012QI"	"Employed persons"	1078.5
"Males"	"48 Bizkaia"	"2012QI"	"Employed persons"	249.3
"Females"	"48 Bizkaia"	"2012QI"	"Employed persons"	225.3
"Males"	"09 Burgos"	"2012QI"	"Employed persons"	88.3
"Females"	"09 Burgos"	"2012QI"	"Employed persons"	60.5
"Males"	"10 Cáceres"	"2012QI"	"Employed persons"	72.5
