arr_port^pax
0^LHR     ^81439.0
1105^QQS     ^240.0
1106^LAW     ^240.0
1107^LCH     ^240.0
1108^BOJ     ^240.0
1109^JGA     ^240.0
1110^CGY     ^240.0
1111^RYK     ^240.0
1112^MOL     ^240.0
1113^MDQ     ^240.0
1114^CWL     ^240.0
1115^MCY     ^240.0
1116^ILO     ^240.0
1117^MGQ     ^240.0
1118^MQL     ^230.0
1119^JHM     ^230.0
1120^YDF     ^230.0
1121^CLL     ^230.0
1122^LRM     ^230.0
1123^FEZ     ^230.0
1124^RAO     ^230.0
1125^FDH     ^230.0
1126^MOQ     ^230.0
1127^WRE     ^230.0
1128^RGI     ^230.0
1129^BCD     ^230.0
1130^APL     ^230.0
1131^MQM     ^230.0
1132^URC     ^230.0
1133^GDZ     ^230.0
1134^SDE     ^230.0
1135^LRD     ^230.0
1136^SUV     ^220.0
1137^UGC     ^220.0
1138^LDE     ^220.0
1139^BHU     ^220.0
1140^MTJ     ^220.0
1141^HLZ     ^220.0
1142^MES     ^220.0
1143^LRT     ^220.0
1144^HRK     ^220.0
1145^SFG     ^220.0
1146^YSJ     ^220.0
1147^AZA     ^210.0
1148^AOI     ^210.0
1149^GIS     ^210.0
1150^YXY     ^210.0
1151^OME     ^210.0
1152^VPY     ^210.0
1153^KVA     ^210.0
1154^LDU     ^210.0
1155^KWL     ^210.0
1156^PCL     ^210.0
1157^SJT     ^210.0
1158^BFS     ^210.0
1159^FCA     ^210.0
1160^YKA     ^210.0
1161^XNB     ^210.0
1162^UTT     ^210.0
1163^RAE     ^210.0
1164^LNY     ^210.0
1165^IVC     ^210.0
1166^TLE     ^210.0
1167^KDV     ^200.0
1168^WVB     ^200.0
1169^ELH     ^200.0
1170^FAE     ^200.0
1171^REL     ^200.0
1172^XMB     ^200.0
1173^LAP     ^200.0
1174^GWT     ^200.0
1175^PXO     ^200.0
1176^BBA     ^200.0
1177^RES     ^200.0
1178^RGL     ^200.0
1179^SGU     ^200.0
1180^SVD     ^200.0
1181^LBD     ^200.0
1182^BSK     ^200.0
1183^SBY     ^200.0
1184^ACK     ^200.0
1185^SCN     ^200.0
1186^COU     ^190.0
1187^DPO     ^190.0
1188^MTS     ^190.0
1189^TOL     ^190.0
1190^USN     ^190.0
1191^SIT     ^190.0
1192^XYD     ^190.0
1193^ACY     ^190.0
1194^HTY     ^190.0
1195^HIR     ^190.0
1196^BLI     ^190.0
1197^TRG     ^190.0
1198^SZZ     ^190.0
1199^CGB     ^190.0
1200^ETZ     ^190.0
1201^BGY     ^190.0
1202^DMU     ^190.0
1203^MXL     ^190.0
1204^KUA     ^180.0
1205^HIJ     ^180.0
1206^DGT     ^180.0
1207^IUE     ^180.0
1208^URY     ^180.0
1209^IMP     ^180.0
1210^BVC     ^180.0
1211^UUD     ^180.0
1212^MGB     ^180.0
1213^GZP     ^180.0
1214^VCP     ^180.0
1215^TOE     ^180.0
1216^SCW     ^180.0
1217^RCB     ^180.0
1218^MQN     ^180.0
1219^PWQ     ^180.0
1220^MHK     ^180.0
1221^URA     ^180.0
1222^MBS     ^180.0
1223^DMS     ^180.0
1224^KLU     ^170.0
1225^PAD     ^170.0
1226^AFA     ^170.0
1227^LSI     ^170.0
1228^HAH     ^170.0
1229^YYB     ^170.0
1230^STW     ^170.0
1231^PFO     ^170.0
1232^JJN     ^170.0
1233^LKN     ^170.0
1234^HOV     ^170.0
1235^ENA     ^170.0
1236^VRA     ^170.0
1237^LMP     ^170.0
1238^RKS     ^170.0
1239^EXT     ^170.0
1240^CRK     ^170.0
1241^TYR     ^170.0
1242^EDL     ^170.0
1243^JHB     ^170.0
1244^PZB     ^170.0
1245^FKB     ^170.0
1246^BDB     ^170.0
1247^YQG     ^160.0
1248^MME     ^160.0
1249^HVB     ^160.0
1250^KME     ^160.0
1251^BOB     ^160.0
1252^URT     ^160.0
1253^ACT     ^160.0
1254^SRG     ^160.0
1255^VIG     ^160.0
1256^SCQ     ^160.0
1257^OZZ     ^160.0
1258^SNU     ^160.0
1259^OGZ     ^160.0
1260^DIR     ^160.0
1261^BTM     ^160.0
1262^CAB     ^160.0
1263^FRW     ^160.0
1264^EAT     ^160.0
1265^THE     ^160.0
1266^IOM     ^160.0
1267^DIK     ^160.0
1268^RMI     ^160.0
1269^DBO     ^160.0
1270^EPR     ^150.0
1271^DNZ     ^150.0
1272^ALF     ^150.0
1273^HUY     ^150.0
1274^ESM     ^150.0
1275^ANR     ^150.0
1276^ABI     ^150.0
1277^ARK     ^150.0
1278^LSE     ^150.0
1279^LMM     ^150.0
1280^SRE     ^150.0
1281^OMR     ^150.0
1282^ZCL     ^150.0
1283^PPP     ^150.0
1284^YQX     ^150.0
1285^SWA     ^150.0
1286^YXX     ^150.0
1287^ULV     ^150.0
1288^VII     ^150.0
1289^VOZ     ^150.0
1290^PIH     ^150.0
1291^YAM     ^150.0
1292^BKG     ^140.0
1293^KGF     ^140.0
1294^CBT     ^140.0
1295^TMM     ^140.0
1296^FTU     ^140.0
1297^TMW     ^140.0
1298^ARM     ^140.0
1299^LBS     ^140.0
1300^LYP     ^140.0
1301^TRW     ^140.0
1302^GIB     ^140.0
1303^MQF     ^140.0
1304^MAG     ^140.0
1305^HVN     ^140.0
1306^YXT     ^140.0
1307^GOV     ^140.0
1308^PGV     ^140.0
1309^MDC     ^140.0
1310^HAK     ^140.0
1311^GTR     ^140.0
1312^RIY     ^140.0
1313^ACV     ^140.0
1314^EMA     ^140.0
1315^KOK     ^140.0
1316^STS     ^140.0
1317^DTM     ^140.0
1318^PKZ     ^140.0
1319^TAC     ^140.0
1320^REN     ^140.0
1321^CNQ     ^140.0
1322^SFL     ^140.0
1323^PPN     ^140.0
1324^SCU     ^140.0
1325^PLU     ^140.0
1326^PLO     ^140.0
1327^LTO     ^130.0
1328^HFE     ^130.0
1329^SPS     ^130.0
1330^HJR     ^130.0
1331^HLN     ^130.0
1332^XDB     ^130.0
1333^IPT     ^130.0
1334^HTA     ^130.0
1335^AZR     ^130.0
1336^ROS     ^130.0
1337^ROW     ^130.0
1338^SLY     ^130.0
1339^YTS     ^130.0
1340^SKD     ^130.0
1341^YBL     ^130.0
1342^HTS     ^130.0
1343^NVT     ^130.0
1344^AHU     ^130.0
1345^DOM     ^130.0
1346^TXK     ^130.0
1347^UEL     ^130.0
1348^OER     ^130.0
1349^KWE     ^130.0
1350^ENU     ^130.0
1351^GEV     ^130.0
1352^KHG     ^130.0
1353^BNK     ^130.0
1354^BLZ     ^130.0
1355^PNL     ^120.0
1356^LZH     ^120.0
1357^OSM     ^120.0
1358^LPL     ^120.0
1359^PRI     ^120.0
1360^BAX     ^120.0
1361^YGK     ^120.0
1362^BDU     ^120.0
1363^RYG     ^120.0
1364^TUO     ^120.0
1365^SSJ     ^120.0
1366^RFP     ^120.0
1367^HUX     ^120.0
1368^UIP     ^120.0
1369^NHA     ^120.0
1370^WUX     ^120.0
1371^HLM     ^120.0
1372^MYW     ^120.0
1373^SON     ^120.0
1374^BLJ     ^120.0
1375^SFN     ^120.0
1376^YQY     ^120.0
1377^ZFV     ^120.0
1378^YVO     ^120.0
1379^YWK     ^120.0
1380^YYF     ^120.0
1381^WYA     ^110.0
1382^ASO     ^110.0
1383^OND     ^110.0
1384^SKN     ^110.0
1385^ETR     ^110.0
1386^NMA     ^110.0
1387^CFR     ^110.0
1388^TDD     ^110.0
1389^TAI     ^110.0
1390^DEA     ^110.0
1391^AKN     ^110.0
1392^BEW     ^110.0
1393^ZBF     ^110.0
1394^JKG     ^110.0
1395^TMS     ^110.0
1396^SPI     ^110.0
1397^OSS     ^110.0
1398^IOS     ^110.0
1399^IOA     ^110.0
1400^SZF     ^110.0
1401^KHS     ^110.0
1402^ANX     ^110.0
1403^BDO     ^110.0
1404^GES     ^110.0
1405^SJP     ^110.0
1406^QOW     ^110.0
1407^BRW     ^110.0
1408^AJU     ^110.0
1409^LET     ^110.0
1410^MJF     ^110.0
1411^MJV     ^110.0
1412^LOH     ^110.0
1413^OLP     ^110.0
1414^KAN     ^100.0
1415^SVJ     ^100.0
1416^FMA     ^100.0
1417^RNN     ^100.0
1418^CBQ     ^100.0
1419^VNX     ^100.0
1420^HAD     ^100.0
1421^MAB     ^100.0
1422^WLS     ^100.0
1423^PAS     ^100.0
1424^OZH     ^100.0
1425^KSD     ^100.0
1426^BQS     ^100.0
1427^PDG     ^100.0
1428^LWB     ^100.0
1429^AGT     ^100.0
1430^TVU     ^100.0
1431^OAG     ^100.0
1432^AOK     ^100.0
1433^MLO     ^100.0
1434^TAY     ^100.0
1435^SHW     ^100.0
1436^NOS     ^100.0
1437^WEI     ^100.0
1438^CRL     ^100.0
1439^GCC     ^100.0
1440^MMO     ^100.0
1441^SNR     ^100.0
1442^BBO     ^100.0
1443^MQT     ^100.0
1444^HDS     ^90.0
1445^FDE     ^90.0
1446^BHV     ^90.0
1447^MDG     ^90.0
1448^TAE     ^90.0
1449^HOG     ^90.0
1450^XDS     ^90.0
1451^ABY     ^90.0
1452^ZBL     ^90.0
1453^MCP     ^90.0
1454^HID     ^90.0
1455^PQI     ^90.0
1456^GUC     ^90.0
1457^EAR     ^90.0
1458^YHM     ^90.0
1459^GHA     ^90.0
1460^CYS     ^90.0
1461^DAM     ^90.0
1462^TTN     ^90.0
1463^KOI     ^90.0
1464^GDQ     ^90.0
1465^UIB     ^90.0
1466^GOP     ^90.0
1467^YKS     ^90.0
1468^KWJ     ^90.0
1469^ZAD     ^90.0
1470^ISG     ^90.0
1471^DIU     ^90.0
1472^ABA     ^90.0
1473^ZAL     ^90.0
1474^QYG     ^90.0
1475^UKS     ^90.0
1476^OTZ     ^90.0
1477^KEM     ^90.0
1478^VAI     ^90.0
1479^RJA     ^90.0
1480^VAN     ^90.0
1481^CMX     ^90.0
1482^WHK     ^90.0
1483^KLO     ^90.0
1484^KHN     ^90.0
1485^VDS     ^90.0
1486^MVY     ^90.0
1487^PBC     ^90.0
1488^FMN     ^90.0
1489^TEE     ^80.0
1490^GKA     ^80.0
1491^WAE     ^80.0
1492^VRK     ^80.0
1493^VQS     ^80.0
1494^MPH     ^80.0
1495^LAQ     ^80.0
1496^AGX     ^80.0
1497^KAJ     ^80.0
1498^NAL     ^80.0
1499^ZAM     ^80.0
1500^GRI     ^80.0
1501^UET     ^80.0
1502^GXF     ^80.0
1503^PTG     ^80.0
1504^LZC     ^80.0
1505^JLN     ^80.0
1506^JOE     ^80.0
1507^EFL     ^80.0
1508^INI     ^80.0
1509^JAL     ^80.0
1510^KOE     ^80.0
1511^LIG     ^80.0
1512^LOK     ^80.0
1513^TAK     ^80.0
1514^CLD     ^80.0
1515^MHQ     ^80.0
1516^LUQ     ^80.0
1517^SMA     ^80.0
1518^RGA     ^80.0
1519^LUO     ^80.0
1520^CLQ     ^80.0
1521^TBU     ^80.0
1522^SHR     ^80.0
1523^KLR     ^80.0
1524^DIL     ^80.0
1525^MKK     ^80.0
1526^KOJ     ^80.0
1527^DUT     ^80.0
1528^PXM     ^80.0
1529^SJZ     ^70.0
1530^GNY     ^70.0
1531^GUR     ^70.0
1532^OXB     ^70.0
1533^RAB     ^70.0
1534^INH     ^70.0
1535^KYA     ^70.0
1536^LWS     ^70.0
1537^SUJ     ^70.0
1538^NAV     ^70.0
1539^NBE     ^70.0
1540^NCU     ^70.0
1541^LPT     ^70.0
1542^BQK     ^70.0
1543^ART     ^70.0
1544^YKF     ^70.0
1545^RRS     ^70.0
1546^BRD     ^70.0
1547^NLD     ^70.0
1548^OTH     ^70.0
1549^SOG     ^70.0
1550^SUN     ^70.0
1551^TGG     ^70.0
1552^BIM     ^70.0
1553^BHQ     ^70.0
1554^BHK     ^70.0
1555^LEB     ^70.0
1556^VXO     ^70.0
1557^PNI     ^70.0
1558^LHW     ^70.0
1559^BHB     ^70.0
1560^WYS     ^70.0
1561^PLN     ^70.0
1562^SUX     ^70.0
1563^JRH     ^70.0
1564^JPA     ^70.0
1565^GFF     ^70.0
1566^HUH     ^70.0
1567^QRW     ^70.0
1568^CVM     ^70.0
1569^CKS     ^70.0
1570^LAI     ^70.0
1571^PKE     ^70.0
1572^SCY     ^60.0
1573^DGE     ^60.0
1574^DCM     ^60.0
1575^DBQ     ^60.0
1576^TUK     ^60.0
1577^KGC     ^60.0
1578^CYB     ^60.0
1579^GDX     ^60.0
1580^PPS     ^60.0
1581^KRP     ^60.0
1582^KNS     ^60.0
1583^CEG     ^60.0
1584^ESC     ^60.0
1585^TEB     ^60.0
1586^POR     ^60.0
1587^ELU     ^60.0
1588^KSY     ^60.0
1589^PUU     ^60.0
1590^CIC     ^60.0
1591^PHW     ^60.0
1592^CFK     ^60.0
1593^TJU     ^60.0
1594^ROR     ^60.0
1595^SVP     ^60.0
1596^SVB     ^60.0
1597^DWC     ^60.0
1598^TBZ     ^60.0
1599^CBO     ^60.0
1600^KRO     ^60.0
1601^SRP     ^60.0
1602^CBB     ^60.0
1603^DLG     ^60.0
1604^TWF     ^60.0
1605^JHG     ^60.0
1606^VLL     ^60.0
1607^APO     ^60.0
1608^ILG     ^60.0
1609^HKK     ^60.0
1610^AMH     ^60.0
1611^WAG     ^60.0
1612^NDG     ^60.0
1613^GRO     ^60.0
1614^BPT     ^60.0
1615^VSG     ^60.0
1616^GRW     ^60.0
1617^NAO     ^60.0
1618^VCS     ^60.0
1619^MYA     ^60.0
1620^YXC     ^60.0
1621^MVR     ^60.0
1622^YCG     ^60.0
1623^JYV     ^60.0
1624^ALW     ^60.0
1625^AQI     ^60.0
1626^VHC     ^60.0
1627^AOE     ^60.0
1628^JST     ^60.0
1629^NVI     ^60.0
1630^MBI     ^60.0
1631^JOI     ^60.0
1632^AGF     ^60.0
1633^BHY     ^60.0
1634^LMT     ^60.0
1635^BCM     ^60.0
1636^HOD     ^60.0
1637^NVK     ^60.0
1638^BKZ     ^50.0
1639^PIR     ^50.0
1640^LXA     ^50.0
1641^EGO     ^50.0
1642^RDZ     ^50.0
1643^PVH     ^50.0
1644^PIB     ^50.0
1645^MRZ     ^50.0
1646^ZTH     ^50.0
1647^LWY     ^50.0
1648^YCB     ^50.0
1649^RHI     ^50.0
1650^RIW     ^50.0
1651^AZS     ^50.0
1652^BGF     ^50.0
1653^YVP     ^50.0
1654^PMW     ^50.0
1655^WSZ     ^50.0
1656^STV     ^50.0
1657^EUN     ^50.0
1658^CGI     ^50.0
1659^YFB     ^50.0
1660^KSH     ^50.0
1661^HMA     ^50.0
1662^MLX     ^50.0
1663^AJR     ^50.0
1664^RGK     ^50.0
1665^MYD     ^50.0
1666^CBH     ^50.0
1667^SDY     ^50.0
1668^YYR     ^50.0
1669^BYC     ^50.0
1670^JZH     ^50.0
1671^YZV     ^50.0
1672^SKE     ^50.0
1673^SGD     ^50.0
1674^RUT     ^50.0
1675^ZAZ     ^50.0
1676^AGR     ^50.0
1677^GST     ^50.0
1678^NZH     ^50.0
1679^KVD     ^50.0
1680^BVE     ^50.0
1681^USK     ^50.0
1682^LRS     ^50.0
1683^LTX     ^50.0
1684^PBD     ^50.0
1685^TKG     ^50.0
1686^YKQ     ^50.0
1687^TYN     ^50.0
1688^YLL     ^50.0
1689^ALS     ^40.0
1690^BBK     ^40.0
1691^YTH     ^40.0
1692^EAU     ^40.0
1693^LLI     ^40.0
1694^MCW     ^40.0
1695^BAY     ^40.0
1696^IYK     ^40.0
1697^YQD     ^40.0
1698^LFR     ^40.0
1699^LEH     ^40.0
1700^YTM     ^40.0
1701^RBQ     ^40.0
1702^LGP     ^40.0
1703^IFO     ^40.0
1704^BBB     ^40.0
1705^MAS     ^40.0
1706^RAH     ^40.0
1707^ABB     ^40.0
1708^LYC     ^40.0
1709^JLR     ^40.0
1710^LMN     ^40.0
1711^YJE     ^40.0
1712^SVU     ^40.0
1713^ZUH     ^40.0
1714^LTK     ^40.0
1715^ZOS     ^40.0
1716^IMT     ^40.0
1717^JKL     ^40.0
1718^RSH     ^40.0
1719^CND     ^40.0
1720^ZIG     ^40.0
1721^STM     ^40.0
1722^DQA     ^40.0
1723^ZVE     ^40.0
1724^KLV     ^40.0
1725^CTM     ^40.0
1726^DRT     ^40.0
1727^LRH     ^40.0
1728^YMN     ^40.0
1729^KSA     ^40.0
1730^DEC     ^40.0
1731^LCE     ^40.0
1732^MCX     ^40.0
1733^YYE     ^40.0
1734^FEG     ^40.0
1735^MOD     ^40.0
1736^JTY     ^40.0
1737^PLM     ^40.0
1738^VPE     ^40.0
1739^PKU     ^40.0
1740^PKB     ^40.0
1741^HEA     ^40.0
1742^PIS     ^40.0
1743^KID     ^40.0
1744^KZS     ^40.0
1745^MCZ     ^40.0
1746^FEN     ^40.0
1747^THR     ^40.0
1748^BRN     ^40.0
1749^THS     ^40.0
1750^TIH     ^40.0
1751^TIN     ^40.0
1752^TJA     ^40.0
1753^GOH     ^40.0
1754^VDZ     ^40.0
1755^BZG     ^40.0
1756^MUR     ^40.0
1757^BNI     ^40.0
1758^NNY     ^40.0
1759^MZH     ^40.0
1760^BPN     ^40.0
1761^TKQ     ^40.0
1762^CAL     ^40.0
1763^TOD     ^40.0
1764^BJZ     ^40.0
1765^ACI     ^40.0
1766^NQY     ^40.0
1767^GMB     ^40.0
1768^GGA     ^40.0
1769^XAP     ^40.0
1770^MHC     ^40.0
1771^TBN     ^40.0
1772^HOR     ^40.0
1773^HUI     ^40.0
1774^PSE     ^40.0
1775^ZFQ     ^40.0
1776^XKH     ^40.0
1777^GMZ     ^40.0
1778^XJN     ^40.0
1779^ZDH     ^40.0
1780^TUP     ^40.0
1781^SYY     ^40.0
1782^KIT     ^40.0
1783^HKN     ^40.0
1784^AJI     ^40.0
1785^NOV     ^40.0
1786^TEX     ^40.0
1787^PMY     ^40.0
1788^GLN     ^40.0
1789^ZWE     ^30.0
1790^SHC     ^30.0
1791^UDJ     ^30.0
1792^TPQ     ^30.0
1793^YQZ     ^30.0
1794^BVB     ^30.0
1795^BXU     ^30.0
1796^AOR     ^30.0
1797^BWT     ^30.0
1798^TOY     ^30.0
1799^XMS     ^30.0
1800^YXH     ^30.0
1801^TKS     ^30.0
1802^SZB     ^30.0
1803^BBN     ^30.0
1804^CIY     ^30.0
1805^XCH     ^30.0
1806^YTY     ^30.0
1807^BHS     ^30.0
1808^WIC     ^30.0
1809^TCB     ^30.0
1810^TDX     ^30.0
1811^YBG     ^30.0
1812^BJI     ^30.0
1813^TFF     ^30.0
1814^CNJ     ^30.0
1815^SRZ     ^30.0
1816^YCO     ^30.0
1817^CPD     ^30.0
1818^YKM     ^30.0
1819^YRT     ^30.0
1820^CZE     ^30.0
1821^TBW     ^30.0
1822^AAB     ^30.0
1823^MSJ     ^30.0
1824^DHM     ^30.0
1825^DIE     ^30.0
1826^LBE     ^30.0
1827^JIJ     ^30.0
1828^JHS     ^30.0
1829^LJG     ^30.0
1830^IXD     ^30.0
1831^LPP     ^30.0
1832^RMF     ^30.0
1833^RKD     ^30.0
1834^INL     ^30.0
1835^RBR     ^30.0
1836^EBJ     ^30.0
1837^MEH     ^30.0
1838^HOM     ^30.0
1839^PUW     ^30.0
1840^HIN     ^30.0
1841^ERZ     ^30.0
1842^NAA     ^30.0
1843^PHO     ^30.0
1844^GTE     ^30.0
1845^GOU     ^30.0
1846^NYM     ^30.0
1847^PAH     ^30.0
1848^OSY     ^30.0
1849^GCK     ^30.0
1850^RSD     ^30.0
1851^GAY     ^30.0
1852^KCM     ^30.0
1853^RVK     ^30.0
1854^KTE     ^30.0
1855^KMI     ^30.0
1856^KMQ     ^30.0
1857^KUK     ^30.0
1858^KVG     ^30.0
1859^KSM     ^30.0
1860^KNU     ^30.0
1861^VOL     ^20.0
1862^BKW     ^20.0
1863^HCR     ^20.0
1864^JSY     ^20.0
1865^MSS     ^20.0
1866^VEL     ^20.0
1867^MXZ     ^20.0
1868^UNG     ^20.0
1869^MSE     ^20.0
1870^MNG     ^20.0
1871^HGA     ^20.0
1872^HGR     ^20.0
1873^ACH     ^20.0
1874^MMU     ^20.0
1875^HKD     ^20.0
1876^WBM     ^20.0
1877^MMH     ^20.0
1878^MKM     ^20.0
1879^HMV     ^20.0
1880^HOF     ^20.0
1881^KIJ     ^20.0
1882^NAJ     ^20.0
1883^UKX     ^20.0
1884^KMS     ^20.0
1885^WRG     ^20.0
1886^OMD     ^20.0
1887^ZVK     ^20.0
1888^TRO     ^20.0
1889^OGX     ^20.0
1890^TSF     ^20.0
1891^NYT     ^20.0
1892^GFN     ^20.0
1893^AAN     ^20.0
1894^BUA     ^20.0
1895^GGG     ^20.0
1896^ZVJ     ^20.0
1897^KRF     ^20.0
1898^BTS     ^20.0
1899^GGW     ^20.0
1900^GHB     ^20.0
1901^BTK     ^20.0
1902^NSK     ^20.0
1903^NRK     ^20.0
1904^GMR     ^20.0
1905^UKA     ^20.0
1906^NDU     ^20.0
1907^NCY     ^20.0
1908^GRV     ^20.0
1909^WNP     ^20.0
1910^WTL     ^20.0
1911^HPH     ^20.0
1912^YIP     ^20.0
1913^ZYN     ^20.0
1914^YYQ     ^20.0
1915^YKU     ^20.0
1916^LRE     ^20.0
1917^AGB     ^20.0
1918^YMO     ^20.0
1919^YOJ     ^20.0
1920^KVX     ^20.0
1921^YPR     ^20.0
1922^YPX     ^20.0
1923^LKL     ^20.0
1924^AOO     ^20.0
1925^LKG     ^20.0
1926^AOJ     ^20.0
1927^JBR     ^20.0
1928^YQK     ^20.0
1929^KWA     ^20.0
1930^YXL     ^20.0
1931^YUY     ^20.0
1932^KWG     ^20.0
1933^YWL     ^20.0
1934^YWH     ^20.0
1935^LAR     ^20.0
1936^LUH     ^20.0
1937^YHD     ^20.0
1938^YVQ     ^20.0
1939^AUG     ^20.0
1940^MHH     ^20.0
1941^MGW     ^20.0
1942^MEI     ^20.0
1943^XFN     ^20.0
1944^XHJ     ^20.0
1945^BFF     ^20.0
1946^HUU     ^20.0
1947^KGT     ^20.0
1948^BEB     ^20.0
1949^HYS     ^20.0
1950^XQE     ^20.0
1951^XQP     ^20.0
1952^IAM     ^20.0
1953^FUT     ^20.0
1954^BDJ     ^20.0
1955^YZR     ^20.0
1956^IBA     ^20.0
1957^MCN     ^20.0
1958^MCK     ^20.0
1959^LYA     ^20.0
1960^INC     ^20.0
1961^KUT     ^20.0
1962^YGW     ^20.0
1963^XRF     ^20.0
1964^KOZ     ^20.0
1965^ROP     ^20.0
1966^COQ     ^20.0
1967^PNT     ^20.0
1968^PNP     ^20.0
1969^DND     ^20.0
1970^PNK     ^20.0
1971^CNM     ^20.0
1972^PLX     ^20.0
1973^DMB     ^20.0
1974^EZS     ^20.0
1975^SLM     ^20.0
1976^ROO     ^20.0
1977^RRG     ^20.0
1978^RSA     ^20.0
1979^PJG     ^20.0
1980^CFN     ^20.0
1981^DIJ     ^20.0
1982^SMX     ^20.0
1983^ESU     ^20.0
1984^RIB     ^20.0
1985^EQS     ^20.0
1986^PQS     ^20.0
1987^QJZ     ^20.0
1988^EIN     ^20.0
1989^PVC     ^20.0
1990^QUB     ^20.0
1991^CIU     ^20.0
1992^QUO     ^20.0
1993^CIJ     ^20.0
1994^EJH     ^20.0
1995^SVA     ^20.0
1996^EKO     ^20.0
1997^RDD     ^20.0
1998^CMF     ^20.0
1999^TBG     ^20.0
2000^PUB     ^20.0
2001^PSR     ^20.0
2002^PDT     ^20.0
2003^PYH     ^20.0
2004^SLI     ^20.0
2005^CTC     ^20.0
2006^CXB     ^20.0
2007^TMR     ^20.0
2008^SHD     ^20.0
2009^FSP     ^20.0
2010^SCV     ^20.0
2011^OSW     ^20.0
2012^SCM     ^20.0
2013^SCC     ^20.0
2014^DCN     ^20.0
2015^FNJ     ^20.0
2016^DDG     ^20.0
2017^SKU     ^20.0
2018^PAG     ^20.0
2019^PDS     ^20.0
2020^CSY     ^20.0
2021^SKZ     ^20.0
2022^SOC     ^10.0
2023^DZN     ^10.0
2024^KUH     ^10.0
2025^ILD     ^10.0
2026^MAJ     ^10.0
2027^SMK     ^10.0
2028^JNX     ^10.0
2029^YUD     ^10.0
2030^KSQ     ^10.0
2031^XZI     ^10.0
2032^DVL     ^10.0
2033^DWD     ^10.0
2034^CRI     ^10.0
2035^KKE     ^10.0
2036^RGS     ^10.0
2037^ZSA     ^10.0
2038^ZSE     ^10.0
2039^SDN     ^10.0
2040^JOS     ^10.0
2041^JQA     ^10.0
2042^CXJ     ^10.0
2043^HYN     ^10.0
2044^KPO     ^10.0
2045^BFD     ^10.0
2046^PZU     ^10.0
2047^HUE     ^10.0
2048^PZH     ^10.0
2049^SZA     ^10.0
2050^CMG     ^10.0
2051^AXA     ^10.0
2052^ALO     ^10.0
2053^KWN     ^10.0
2054^SOM     ^10.0
2055^HSN     ^10.0
2056^KAD     ^10.0
2057^APN     ^10.0
2058^LPK     ^10.0
2059^CTL     ^10.0
2060^RSU     ^10.0
2061^DLZ     ^10.0
2062^YMT     ^10.0
2063^SKK     ^10.0
2064^COD     ^10.0
2065^IWK     ^10.0
2066^KVL     ^10.0
2067^CNY     ^10.0
2068^JAV     ^10.0
2069^ISE     ^10.0
2070^LUG     ^10.0
2071^CUM     ^10.0
2072^YIH     ^10.0
2073^YHO     ^10.0
2074^AKF     ^10.0
2075^YZP     ^10.0
2076^KGP     ^10.0
2077^YGX     ^10.0
2078^YZZ     ^10.0
2079^AWZ     ^10.0
2080^KZR     ^10.0
2081^TMX     ^10.0
2082^CYZ     ^10.0
2083^TGM     ^10.0
2084^CDV     ^10.0
2085^BJF     ^10.0
2086^PSG     ^10.0
2087^PBG     ^10.0
2088^VVZ     ^10.0
2089^TIZ     ^10.0
2090^TIU     ^10.0
2091^GJL     ^10.0
2092^ERS     ^10.0
2093^UAK     ^10.0
2094^HFS     ^10.0
2095^HET     ^10.0
2096^TIM     ^10.0
2097^TUB     ^10.0
2098^NOJ     ^10.0
2099^NOC     ^10.0
2100^CEC     ^10.0
2101^MSL     ^10.0
2102^NGS     ^10.0
2103^NDB     ^10.0
2104^MSZ     ^10.0
2105^PED     ^10.0
2106^BQB     ^10.0
2107^MXX     ^10.0
2108^UTP     ^10.0
2109^BUL     ^10.0
2110^UUA     ^10.0
2111^GDE     ^10.0
2112^EGC     ^10.0
2113^ORU     ^10.0
2114^WUS     ^10.0
2115^MIM     ^10.0
2116^ORB     ^10.0
2117^HOB     ^10.0
2118^MKG     ^10.0
2119^CHU     ^10.0
2120^WWK     ^10.0
2121^MLW     ^10.0
2122^OSR     ^10.0
2123^YRL     ^0.0
2124^JOG     ^0.0
2125^CWC     ^0.0
2126^BRL     ^0.0
2127^SLU     ^0.0
2128^BZO     ^0.0
2129^CJJ     ^0.0
2130^CED     ^0.0
2131^CXI     ^0.0
2132^UKB     ^0.0
2133^AKY     ^0.0
2134^JIK     ^0.0
2135^ULH     ^0.0
2136^SDP     ^0.0
2137^JTC     ^0.0
2138^TGR     ^0.0
2139^PGA     ^0.0
2140^ALP     ^0.0
2141^KMJ     ^0.0
2142^KTL     ^0.0
2143^OIA     ^0.0
2144^ABK     ^0.0
2145^BUN     ^0.0
2146^KUN     ^0.0
2147^KUS     ^0.0
2148^TUI     ^0.0
2149^CBG     ^0.0
2150^SJW     ^0.0
2151^OZC     ^0.0
2152^YYU     ^0.0
2153^OHH     ^0.0
2154^FSZ     ^0.0
2155^UYU     ^0.0
2156^BTH     ^0.0
2157^AGM     ^0.0
2158^YXN     ^0.0
2159^ZHA     ^0.0
2160^NTG     ^0.0
2161^KLX     ^0.0
2162^UAH     ^0.0
2163^ZLN     ^0.0
2164^GLH     ^0.0
2165^ABR     ^0.0
2166^KAC     ^0.0
2167^SHP     ^0.0
2168^SAB     ^0.0
2169^HSL     ^0.0
2170^AXP     ^0.0
2171^LYG     ^0.0
2172^IRJ     ^0.0
2173^ATY     ^0.0
2174^RIL     ^0.0
